
Moon
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2019 | 2458484.45833|   58483.95833| 17 31.8 -11 14         | 091.548 -13.162  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.77' |0.24 |   388316 km|
00 30 00  01.01.2019 | 2458484.47917|   58483.97917| 18 00.8 -11 21         | 097.241 -08.755  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.81' |0.24 |   387917 km|
01 00 00  01.01.2019 | 2458484.50000|   58484.00000| 18 29.8 -11 27         | 102.916 -04.400  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.84' |0.23 |   387518 km|
01 30 00  01.01.2019 | 2458484.52083|   58484.02083| 18 58.9 -11 33         | 108.639 +00.342  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.87' |0.23 |   387128 km|
02 00 00  01.01.2019 | 2458484.54167|   58484.04167| 19 28.1 -11 39         | 114.471 +04.162  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.90' |0.23 |   386753 km|
02 30 00  01.01.2019 | 2458484.56250|   58484.06250| 19 57.2 -11 45         | 120.469 +08.015  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.93' |0.23 |   386402 km|
03 00 00  01.01.2019 | 2458484.58333|   58484.08333| 20 26.5 -11 51         | 126.683 +11.672  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.95' |0.23 |   386082 km|
03 30 00  01.01.2019 | 2458484.60417|   58484.10417| 20 55.7 -11 57         | 133.156 +15.046  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.98' |0.23 |   385799 km|
04 00 00  01.01.2019 | 2458484.62500|   58484.12500| 21 25.0 -12 02         | 139.918 +18.070  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.99' |0.22 |   385559 km|
04 30 00  01.01.2019 | 2458484.64583|   58484.14583| 21 54.3 -12 08         | 146.983 +20.680  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |31.01' |0.22 |   385369 km|
05 00 00  01.01.2019 | 2458484.66667|   58484.16667| 22 23.6 -12 14         | 154.343 +22.815  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |31.02' |0.22 |   385231 km|
05 30 00  01.01.2019 | 2458484.68750|   58484.18750| 22 52.9 -12 19         | 161.963 +24.416  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |31.03' |0.22 |   385151 km|
06 00 00  01.01.2019 | 2458484.70833|   58484.20833| 23 22.2 -12 24         | 169.782 +25.438  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |31.03' |0.22 |   385131 km|
06 30 00  01.01.2019 | 2458484.72917|   58484.22917| 23 51.6 -12 30         | 177.714 +25.847  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |31.03' |0.21 |   385172 km|
07 00 00  01.01.2019 | 2458484.75000|   58484.25000| 00 20.9 -12 35         | 185.660 +25.629  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |31.02' |0.21 |   385276 km|
07 30 00  01.01.2019 | 2458484.77083|   58484.27083| 00 50.3 -12 39         | 193.517 +24.791  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |31.00' |0.21 |   385442 km|
08 00 00  01.01.2019 | 2458484.79167|   58484.29167| 01 19.6 -12 44         | 201.192 +23.358  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.99' |0.21 |   385668 km|
08 30 00  01.01.2019 | 2458484.81250|   58484.31250| 01 48.9 -12 49         | 208.617 +21.373  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.96' |0.21 |   385953 km|
09 00 00  01.01.2019 | 2458484.83333|   58484.33333| 02 18.2 -12 53         | 215.745 +18.889  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.94' |0.21 |   386293 km|
09 30 00  01.01.2019 | 2458484.85417|   58484.35417| 02 47.5 -12 58         | 222.561 +15.965  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.90' |0.20 |   386684 km|
10 00 00  01.01.2019 | 2458484.87500|   58484.37500| 03 16.7 -13 02         | 229.071 +12.665  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.87' |0.20 |   387121 km|
10 30 00  01.01.2019 | 2458484.89583|   58484.39583| 03 46.0 -13 06         | 235.298 +09.052  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.83' |0.20 |   387599 km|
11 00 00  01.01.2019 | 2458484.91667|   58484.41667| 04 15.2 -13 10         | 241.281 +05.205  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.79' |0.20 |   388110 km|
11 30 00  01.01.2019 | 2458484.93750|   58484.43750| 04 44.3 -13 14         | 247.066 +01.284  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.75' |0.20 |   388648 km|
12 00 00  01.01.2019 | 2458484.95833|   58484.45833| 05 13.4 -13 18         | 252.708 -03.360  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.70' |0.20 |   389206 km|
12 30 00  01.01.2019 | 2458484.97917|   58484.47917| 05 42.5 -13 22         | 258.264 -07.774  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.66' |0.19 |   389776 km|
13 00 00  01.01.2019 | 2458485.00000|   58484.50000| 06 11.5 -13 26         | 263.797 -12.269  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.61' |0.19 |   390350 km|
13 30 00  01.01.2019 | 2458485.02083|   58484.52083| 06 40.5 -13 29         | 269.377 -16.805  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.57' |0.19 |   390921 km|
14 00 00  01.01.2019 | 2458485.04167|   58484.54167| 07 09.5 -13 33         | 275.078 -21.339  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.53' |0.19 |   391480 km|
14 30 00  01.01.2019 | 2458485.06250|   58484.56250| 07 38.4 -13 37         | 280.984 -25.828  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.48' |0.19 |   392021 km|
15 00 00  01.01.2019 | 2458485.08333|   58484.58333| 08 07.3 -13 41         | 287.189 -30.222  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.44' |0.18 |   392535 km|
15 30 00  01.01.2019 | 2458485.10417|   58484.60417| 08 36.2 -13 45         | 293.798 -34.464  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.41' |0.18 |   393017 km|
16 00 00  01.01.2019 | 2458485.12500|   58484.62500| 09 05.0 -13 48         | 300.928 -38.487  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.37' |0.18 |   393460 km|
16 30 00  01.01.2019 | 2458485.14583|   58484.64583| 09 33.8 -13 52         | 308.701 -42.210  | 01 25  11 42 | 108  249   | 06 39  +25.8  |      |30.34' |0.18 |   393858 km|
