
Jupiter
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2023 | 2459945.45833|   59944.95833| 06 28.2 -00 43         | 275.167 -04.852  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0093 AU|
00 30 00  01.01.2023 | 2459945.47917|   59944.97917| 06 58.3 -00 42         | 281.213 -09.385  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0096 AU|
01 00 00  01.01.2023 | 2459945.50000|   59945.00000| 07 28.3 -00 42         | 287.410 -13.822  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0099 AU|
01 30 00  01.01.2023 | 2459945.52083|   59945.02083| 07 58.4 -00 42         | 293.837 -18.108  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0102 AU|
02 00 00  01.01.2023 | 2459945.54167|   59945.04167| 08 28.5 -00 42         | 300.569 -22.181  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0106 AU|
02 30 00  01.01.2023 | 2459945.56250|   59945.06250| 08 58.6 -00 42         | 307.682 -25.972  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0109 AU|
03 00 00  01.01.2023 | 2459945.58333|   59945.08333| 09 28.6 -00 42         | 315.239 -29.404  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0112 AU|
03 30 00  01.01.2023 | 2459945.60417|   59945.10417| 09 58.7 -00 42         | 323.281 -32.394  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0115 AU|
04 00 00  01.01.2023 | 2459945.62500|   59945.12500| 10 28.8 -00 42         | 331.817 -34.852  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0119 AU|
04 30 00  01.01.2023 | 2459945.64583|   59945.14583| 10 58.9 -00 42         | 340.805 -36.692  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0122 AU|
05 00 00  01.01.2023 | 2459945.66667|   59945.16667| 11 28.9 -00 42         | 350.144 -37.841  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0125 AU|
05 30 00  01.01.2023 | 2459945.68750|   59945.18750| 11 59.0 -00 42         | 359.680 -38.246  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0128 AU|
06 00 00  01.01.2023 | 2459945.70833|   59945.20833| 12 29.1 -00 42         | 009.223 -37.889  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0132 AU|
06 30 00  01.01.2023 | 2459945.72917|   59945.22917| 12 59.1 -00 42         | 018.580 -36.787  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0135 AU|
07 00 00  01.01.2023 | 2459945.75000|   59945.25000| 13 29.2 -00 42         | 027.594 -34.988  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0138 AU|
07 30 00  01.01.2023 | 2459945.77083|   59945.27083| 13 59.3 -00 42         | 036.160 -32.567  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0142 AU|
08 00 00  01.01.2023 | 2459945.79167|   59945.29167| 14 29.4 -00 41         | 044.234 -29.609  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0145 AU|
08 30 00  01.01.2023 | 2459945.81250|   59945.31250| 14 59.4 -00 41         | 051.820 -26.202  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0148 AU|
09 00 00  01.01.2023 | 2459945.83333|   59945.33333| 15 29.5 -00 41         | 058.960 -22.430  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0151 AU|
09 30 00  01.01.2023 | 2459945.85417|   59945.35417| 15 59.6 -00 41         | 065.714 -18.373  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0155 AU|
10 00 00  01.01.2023 | 2459945.87500|   59945.37500| 16 29.7 -00 41         | 072.157 -14.097  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0158 AU|
10 30 00  01.01.2023 | 2459945.89583|   59945.39583| 16 59.7 -00 41         | 078.365 -09.667  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0161 AU|
11 00 00  01.01.2023 | 2459945.91667|   59945.41667| 17 29.8 -00 41         | 084.418 -05.138  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0164 AU|
11 30 00  01.01.2023 | 2459945.93750|   59945.43750| 17 59.9 -00 41         | 090.391 -00.014  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0168 AU|
12 00 00  01.01.2023 | 2459945.95833|   59945.45833| 18 29.9 -00 41         | 096.362 +04.193  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0171 AU|
12 30 00  01.01.2023 | 2459945.97917|   59945.47917| 19 00.0 -00 41         | 102.408 +08.630  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0174 AU|
13 00 00  01.01.2023 | 2459946.00000|   59945.50000| 19 30.1 -00 41         | 108.603 +13.013  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0177 AU|
13 30 00  01.01.2023 | 2459946.02083|   59945.52083| 20 00.2 -00 41         | 115.025 +17.249  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0181 AU|
14 00 00  01.01.2023 | 2459946.04167|   59945.54167| 20 30.2 -00 41         | 121.747 +21.269  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0184 AU|
14 30 00  01.01.2023 | 2459946.06250|   59945.56250| 21 00.3 -00 41         | 128.840 +25.003  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0187 AU|
15 00 00  01.01.2023 | 2459946.08333|   59945.58333| 21 30.4 -00 41         | 136.360 +28.371  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0191 AU|
15 30 00  01.01.2023 | 2459946.10417|   59945.60417| 22 00.5 -00 40         | 144.345 +31.293  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0194 AU|
16 00 00  01.01.2023 | 2459946.12500|   59945.62500| 22 30.5 -00 40         | 152.796 +33.681  | 11 30  23 29 | 090  270   | 17 29  +36.9  | -2.27|   39" |     |   5.0197 AU|
