
Mars
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2019 | 2458484.45833|   58483.95833| 06 34.3 -00 19         | 276.637 -05.470  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.46|    7" |0.87 |   1.2606 AU|
00 30 00  01.01.2019 | 2458484.47917|   58483.97917| 07 04.4 -00 18         | 282.700 -09.974  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.46|    7" |0.87 |   1.2608 AU|
01 00 00  01.01.2019 | 2458484.50000|   58484.00000| 07 34.4 -00 18         | 288.928 -14.370  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.46|    7" |0.87 |   1.2610 AU|
01 30 00  01.01.2019 | 2458484.52083|   58484.02083| 08 04.4 -00 18         | 295.398 -18.601  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.46|    7" |0.87 |   1.2611 AU|
02 00 00  01.01.2019 | 2458484.54167|   58484.04167| 08 34.5 -00 17         | 302.185 -22.604  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.46|    7" |0.87 |   1.2613 AU|
02 30 00  01.01.2019 | 2458484.56250|   58484.06250| 09 04.5 -00 17         | 309.361 -26.311  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.46|    7" |0.87 |   1.2615 AU|
03 00 00  01.01.2019 | 2458484.58333|   58484.08333| 09 34.5 -00 17         | 316.983 -29.642  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.46|    7" |0.87 |   1.2617 AU|
03 30 00  01.01.2019 | 2458484.60417|   58484.10417| 10 04.6 -00 16         | 325.085 -32.514  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.46|    7" |0.87 |   1.2618 AU|
04 00 00  01.01.2019 | 2458484.62500|   58484.12500| 10 34.6 -00 16         | 333.667 -34.840  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2620 AU|
04 30 00  01.01.2019 | 2458484.64583|   58484.14583| 11 04.6 -00 16         | 342.676 -36.536  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2622 AU|
05 00 00  01.01.2019 | 2458484.66667|   58484.16667| 11 34.7 -00 15         | 352.001 -37.533  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2624 AU|
05 30 00  01.01.2019 | 2458484.68750|   58484.18750| 12 04.7 -00 15         | 001.483 -37.788  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2625 AU|
06 00 00  01.01.2019 | 2458484.70833|   58484.20833| 12 34.7 -00 14         | 010.934 -37.286  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2627 AU|
06 30 00  01.01.2019 | 2458484.72917|   58484.22917| 13 04.8 -00 14         | 020.171 -36.053  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2629 AU|
07 00 00  01.01.2019 | 2458484.75000|   58484.25000| 13 34.8 -00 14         | 029.049 -34.141  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2631 AU|
07 30 00  01.01.2019 | 2458484.77083|   58484.27083| 14 04.8 -00 13         | 037.476 -31.626  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2632 AU|
08 00 00  01.01.2019 | 2458484.79167|   58484.29167| 14 34.8 -00 13         | 045.418 -28.591  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2634 AU|
08 30 00  01.01.2019 | 2458484.81250|   58484.31250| 15 04.9 -00 13         | 052.886 -25.125  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2636 AU|
09 00 00  01.01.2019 | 2458484.83333|   58484.33333| 15 34.9 -00 12         | 059.924 -21.310  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2638 AU|
09 30 00  01.01.2019 | 2458484.85417|   58484.35417| 16 04.9 -00 12         | 066.596 -17.220  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2639 AU|
10 00 00  01.01.2019 | 2458484.87500|   58484.37500| 16 35.0 -00 12         | 072.973 -12.922  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2641 AU|
10 30 00  01.01.2019 | 2458484.89583|   58484.39583| 17 05.0 -00 11         | 079.134 -08.479  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2643 AU|
11 00 00  01.01.2019 | 2458484.91667|   58484.41667| 17 35.0 -00 11         | 085.154 -03.943  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2645 AU|
11 30 00  01.01.2019 | 2458484.93750|   58484.43750| 18 05.1 -00 10         | 091.110 +01.018  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2646 AU|
12 00 00  01.01.2019 | 2458484.95833|   58484.45833| 18 35.1 -00 10         | 097.079 +05.350  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2648 AU|
12 30 00  01.01.2019 | 2458484.97917|   58484.47917| 19 05.1 -00 10         | 103.136 +09.796  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2650 AU|
13 00 00  01.01.2019 | 2458485.00000|   58484.50000| 19 35.2 -00 09         | 109.358 +14.165  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2652 AU|
13 30 00  01.01.2019 | 2458485.02083|   58484.52083| 20 05.2 -00 09         | 115.821 +18.379  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2653 AU|
14 00 00  01.01.2019 | 2458485.04167|   58484.54167| 20 35.2 -00 09         | 122.601 +22.367  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2655 AU|
14 30 00  01.01.2019 | 2458485.06250|   58484.56250| 21 05.3 -00 08         | 129.766 +26.059  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2657 AU|
15 00 00  01.01.2019 | 2458485.08333|   58484.58333| 21 35.3 -00 08         | 137.374 +29.375  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2659 AU|
15 30 00  01.01.2019 | 2458485.10417|   58484.60417| 22 05.3 -00 08         | 145.457 +32.231  | 11 22  23 28 | 090  271   | 17 25  +37.5  |  0.47|    7" |0.87 |   1.2660 AU|
