
Mercury
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2022 | 2459580.45833|   59579.95833| 10 33.1 -22 19         | 322.715 -55.575  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1426 AU|
00 30 00  01.01.2022 | 2459580.47917|   59579.97917| 11 03.0 -22 19         | 334.612 -57.944  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1421 AU|
01 00 00  01.01.2022 | 2459580.50000|   59580.00000| 11 33.0 -22 18         | 347.660 -59.415  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1417 AU|
01 30 00  01.01.2022 | 2459580.52083|   59580.02083| 12 03.0 -22 18         | 001.362 -59.845  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1412 AU|
02 00 00  01.01.2022 | 2459580.54167|   59580.04167| 12 32.9 -22 18         | 014.983 -59.187  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1408 AU|
02 30 00  01.01.2022 | 2459580.56250|   59580.06250| 13 02.9 -22 17         | 027.819 -57.510  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1403 AU|
03 00 00  01.01.2022 | 2459580.58333|   59580.08333| 13 32.8 -22 17         | 039.443 -54.972  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1399 AU|
03 30 00  01.01.2022 | 2459580.60417|   59580.10417| 14 02.8 -22 16         | 049.751 -51.758  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1394 AU|
04 00 00  01.01.2022 | 2459580.62500|   59580.12500| 14 32.7 -22 16         | 058.849 -48.044  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1390 AU|
04 30 00  01.01.2022 | 2459580.64583|   59580.14583| 15 02.7 -22 15         | 066.938 -43.975  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1385 AU|
05 00 00  01.01.2022 | 2459580.66667|   59580.16667| 15 32.7 -22 15         | 074.230 -39.665  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1381 AU|
05 30 00  01.01.2022 | 2459580.68750|   59580.18750| 16 02.6 -22 14         | 080.917 -35.203  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1376 AU|
06 00 00  01.01.2022 | 2459580.70833|   59580.20833| 16 32.6 -22 14         | 087.159 -30.659  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1371 AU|
06 30 00  01.01.2022 | 2459580.72917|   59580.22917| 17 02.5 -22 13         | 093.089 -26.091  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1367 AU|
07 00 00  01.01.2022 | 2459580.75000|   59580.25000| 17 32.5 -22 13         | 098.815 -21.547  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1362 AU|
07 30 00  01.01.2022 | 2459580.77083|   59580.27083| 18 02.5 -22 12         | 104.429 -17.071  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1358 AU|
08 00 00  01.01.2022 | 2459580.79167|   59580.29167| 18 32.4 -22 12         | 110.006 -12.707  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1353 AU|
08 30 00  01.01.2022 | 2459580.81250|   59580.31250| 19 02.4 -22 11         | 115.611 -08.494  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.78 |   1.1349 AU|
09 00 00  01.01.2022 | 2459580.83333|   59580.33333| 19 32.3 -22 11         | 121.300 -04.475  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1344 AU|
09 30 00  01.01.2022 | 2459580.85417|   59580.35417| 20 02.3 -22 10         | 127.121 -00.125  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1340 AU|
10 00 00  01.01.2022 | 2459580.87500|   59580.37500| 20 32.3 -22 10         | 133.113 +03.031  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1335 AU|
10 30 00  01.01.2022 | 2459580.89583|   59580.39583| 21 02.2 -22 09         | 139.303 +06.103  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1330 AU|
11 00 00  01.01.2022 | 2459580.91667|   59580.41667| 21 32.2 -22 09         | 145.710 +08.851  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1326 AU|
11 30 00  01.01.2022 | 2459580.93750|   59580.43750| 22 02.1 -22 08         | 152.334 +11.189  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1321 AU|
12 00 00  01.01.2022 | 2459580.95833|   59580.45833| 22 32.1 -22 08         | 159.162 +13.061  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1317 AU|
12 30 00  01.01.2022 | 2459580.97917|   59580.47917| 23 02.1 -22 07         | 166.162 +14.423  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1312 AU|
13 00 00  01.01.2022 | 2459581.00000|   59580.50000| 23 32.0 -22 07         | 173.288 +15.242  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1307 AU|
13 30 00  01.01.2022 | 2459581.02083|   59580.52083| 00 02.0 -22 06         | 180.477 +15.498  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1303 AU|
14 00 00  01.01.2022 | 2459581.04167|   59580.54167| 00 31.9 -22 06         | 187.664 +15.183  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1298 AU|
14 30 00  01.01.2022 | 2459581.06250|   59580.56250| 01 01.9 -22 05         | 194.780 +14.307  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1294 AU|
15 00 00  01.01.2022 | 2459581.08333|   59580.58333| 01 31.9 -22 05         | 201.767 +12.890  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1289 AU|
15 30 00  01.01.2022 | 2459581.10417|   59580.60417| 02 01.8 -22 04         | 208.578 +10.968  | 09 31  17 26 | 127  233   | 13 28  +15.5  | -0.82|    6" |0.77 |   1.1284 AU|
