
Moon
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2024 | 2460310.45833|   60309.95833| 19 57.0 +12 12         | 106.334 +27.329  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.75' |0.78 |   401672 km|
00 30 00  01.01.2024 | 2460310.47917|   60309.97917| 20 26.3 +12 06         | 113.060 +31.453  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.78' |0.78 |   401291 km|
01 00 00  01.01.2024 | 2460310.50000|   60310.00000| 20 55.7 +12 01         | 120.268 +35.367  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.80' |0.78 |   400945 km|
01 30 00  01.01.2024 | 2460310.52083|   60310.02083| 21 25.1 +11 55         | 128.063 +38.984  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.83' |0.78 |   400643 km|
02 00 00  01.01.2024 | 2460310.54167|   60310.04167| 21 54.5 +11 49         | 136.538 +42.209  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.85' |0.78 |   400387 km|
02 30 00  01.01.2024 | 2460310.56250|   60310.06250| 22 23.9 +11 43         | 145.747 +44.928  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.86' |0.78 |   400184 km|
03 00 00  01.01.2024 | 2460310.58333|   60310.08333| 22 53.4 +11 37         | 155.679 +47.025  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.87' |0.77 |   400038 km|
03 30 00  01.01.2024 | 2460310.60417|   60310.10417| 23 22.8 +11 30         | 166.213 +48.388  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.88' |0.77 |   399950 km|
04 00 00  01.01.2024 | 2460310.62500|   60310.12500| 23 52.3 +11 24         | 177.118 +48.932  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.88' |0.77 |   399923 km|
04 30 00  01.01.2024 | 2460310.64583|   60310.14583| 00 21.7 +11 17         | 188.074 +48.620  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.88' |0.77 |   399958 km|
05 00 00  01.01.2024 | 2460310.66667|   60310.16667| 00 51.2 +11 11         | 198.749 +47.468  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.87' |0.77 |   400054 km|
05 30 00  01.01.2024 | 2460310.68750|   60310.18750| 01 20.7 +11 04         | 208.875 +45.547  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.86' |0.77 |   400211 km|
06 00 00  01.01.2024 | 2460310.70833|   60310.20833| 01 50.1 +10 57         | 218.298 +42.959  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.84' |0.76 |   400426 km|
06 30 00  01.01.2024 | 2460310.72917|   60310.22917| 02 19.5 +10 50         | 226.973 +39.819  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.82' |0.76 |   400696 km|
07 00 00  01.01.2024 | 2460310.75000|   60310.25000| 02 48.9 +10 43         | 234.938 +36.239  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.80' |0.76 |   401017 km|
07 30 00  01.01.2024 | 2460310.77083|   60310.27083| 03 18.3 +10 36         | 242.276 +32.322  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.77' |0.76 |   401384 km|
08 00 00  01.01.2024 | 2460310.79167|   60310.29167| 03 47.6 +10 29         | 249.091 +28.154  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.74' |0.76 |   401791 km|
08 30 00  01.01.2024 | 2460310.81250|   60310.31250| 04 17.0 +10 22         | 255.488 +23.809  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.71' |0.76 |   402232 km|
09 00 00  01.01.2024 | 2460310.83333|   60310.33333| 04 46.3 +10 14         | 261.567 +19.351  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.68' |0.75 |   402699 km|
09 30 00  01.01.2024 | 2460310.85417|   60310.35417| 05 15.5 +10 07         | 267.421 +14.835  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.64' |0.75 |   403187 km|
10 00 00  01.01.2024 | 2460310.87500|   60310.37500| 05 44.7 +10 00         | 273.134 +10.315  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.60' |0.75 |   403686 km|
10 30 00  01.01.2024 | 2460310.89583|   60310.39583| 06 13.9 +09 53         | 278.781 +05.854  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.57' |0.75 |   404189 km|
11 00 00  01.01.2024 | 2460310.91667|   60310.41667| 06 43.1 +09 45         | 284.433 +01.594  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.53' |0.75 |   404688 km|
11 30 00  01.01.2024 | 2460310.93750|   60310.43750| 07 12.2 +09 38         | 290.156 -03.062  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.49' |0.74 |   405175 km|
12 00 00  01.01.2024 | 2460310.95833|   60310.45833| 07 41.2 +09 31         | 296.010 -07.235  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.46' |0.74 |   405643 km|
12 30 00  01.01.2024 | 2460310.97917|   60310.47917| 08 10.3 +09 24         | 302.054 -11.204  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.43' |0.74 |   406085 km|
13 00 00  01.01.2024 | 2460311.00000|   60310.50000| 08 39.3 +09 17         | 308.338 -14.919  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.40' |0.74 |   406493 km|
13 30 00  01.01.2024 | 2460311.02083|   60310.52083| 09 08.3 +09 09         | 314.906 -18.325  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.37' |0.74 |   406861 km|
14 00 00  01.01.2024 | 2460311.04167|   60310.54167| 09 37.3 +09 03         | 321.791 -21.364  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.35' |0.74 |   407184 km|
14 30 00  01.01.2024 | 2460311.06250|   60310.56250| 10 06.2 +08 56         | 329.004 -23.977  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.33' |0.73 |   407456 km|
15 00 00  01.01.2024 | 2460311.08333|   60310.58333| 10 35.2 +08 49         | 336.537 -26.104  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.31' |0.73 |   407674 km|
15 30 00  01.01.2024 | 2460311.10417|   60310.60417| 11 04.1 +08 42         | 344.353 -27.690  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.30' |0.73 |   407834 km|
16 00 00  01.01.2024 | 2460311.12500|   60310.62500| 11 33.0 +08 35         | 352.383 -28.689  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.29' |0.73 |   407933 km|
16 30 00  01.01.2024 | 2460311.14583|   60310.64583| 12 01.9 +08 29         | 000.537 -29.071  | 21 55  11 14 | 077  287   | 04 08  +48.9  |      |29.29' |0.73 |   407971 km|
