
Neptune
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2021 | 2459215.45833|   59214.95833| 07 17.2 -05 33         | 282.127 -16.095  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2829 AU|
00 30 00  01.01.2021 | 2459215.47917|   59214.97917| 07 47.3 -05 33         | 288.493 -20.514  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2833 AU|
01 00 00  01.01.2021 | 2459215.50000|   59215.00000| 08 17.4 -05 33         | 295.169 -24.766  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2836 AU|
01 30 00  01.01.2021 | 2459215.52083|   59215.02083| 08 47.4 -05 33         | 302.246 -28.785  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2839 AU|
02 00 00  01.01.2021 | 2459215.54167|   59215.04167| 09 17.5 -05 33         | 309.808 -32.491  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2843 AU|
02 30 00  01.01.2021 | 2459215.56250|   59215.06250| 09 47.6 -05 33         | 317.927 -35.795  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2846 AU|
03 00 00  01.01.2021 | 2459215.58333|   59215.08333| 10 17.7 -05 33         | 326.645 -38.599  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2849 AU|
03 30 00  01.01.2021 | 2459215.60417|   59215.10417| 10 47.8 -05 33         | 335.949 -40.801  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2853 AU|
04 00 00  01.01.2021 | 2459215.62500|   59215.12500| 11 17.9 -05 33         | 345.753 -42.305  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2856 AU|
04 30 00  01.01.2021 | 2459215.64583|   59215.14583| 11 47.9 -05 33         | 355.890 -43.036  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2859 AU|
05 00 00  01.01.2021 | 2459215.66667|   59215.16667| 12 18.0 -05 33         | 006.129 -42.955  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2863 AU|
05 30 00  01.01.2021 | 2459215.68750|   59215.18750| 12 48.1 -05 33         | 016.218 -42.066  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2866 AU|
06 00 00  01.01.2021 | 2459215.70833|   59215.20833| 13 18.2 -05 33         | 025.933 -40.417  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2869 AU|
06 30 00  01.01.2021 | 2459215.72917|   59215.22917| 13 48.3 -05 33         | 035.125 -38.088  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2873 AU|
07 00 00  01.01.2021 | 2459215.75000|   59215.25000| 14 18.3 -05 33         | 043.723 -35.177  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2876 AU|
07 30 00  01.01.2021 | 2459215.77083|   59215.27083| 14 48.4 -05 33         | 051.728 -31.786  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2879 AU|
08 00 00  01.01.2021 | 2459215.79167|   59215.29167| 15 18.5 -05 33         | 059.188 -28.011  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2883 AU|
08 30 00  01.01.2021 | 2459215.81250|   59215.31250| 15 48.6 -05 33         | 066.178 -23.940  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2886 AU|
09 00 00  01.01.2021 | 2459215.83333|   59215.33333| 16 18.7 -05 33         | 072.785 -19.649  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2889 AU|
09 30 00  01.01.2021 | 2459215.85417|   59215.35417| 16 48.7 -05 33         | 079.100 -15.205  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2893 AU|
10 00 00  01.01.2021 | 2459215.87500|   59215.37500| 17 18.8 -05 33         | 085.209 -10.667  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2896 AU|
10 30 00  01.01.2021 | 2459215.89583|   59215.39583| 17 48.9 -05 33         | 091.195 -06.088  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2899 AU|
11 00 00  01.01.2021 | 2459215.91667|   59215.41667| 18 19.0 -05 33         | 097.139 -00.792  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2903 AU|
11 30 00  01.01.2021 | 2459215.93750|   59215.43750| 18 49.1 -05 33         | 103.114 +03.212  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2906 AU|
12 00 00  01.01.2021 | 2459215.95833|   59215.45833| 19 19.1 -05 33         | 109.195 +07.505  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2909 AU|
12 30 00  01.01.2021 | 2459215.97917|   59215.47917| 19 49.2 -05 33         | 115.452 +11.705  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2913 AU|
13 00 00  01.01.2021 | 2459216.00000|   59215.50000| 20 19.3 -05 33         | 121.952 +15.705  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2916 AU|
13 30 00  01.01.2021 | 2459216.02083|   59215.52083| 20 49.4 -05 33         | 128.754 +19.431  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2919 AU|
14 00 00  01.01.2021 | 2459216.04167|   59215.54167| 21 19.5 -05 33         | 135.909 +22.812  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2923 AU|
14 30 00  01.01.2021 | 2459216.06250|   59215.56250| 21 49.5 -05 33         | 143.449 +25.772  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2926 AU|
15 00 00  01.01.2021 | 2459216.08333|   59215.58333| 22 19.6 -05 33         | 151.380 +28.238  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2929 AU|
15 30 00  01.01.2021 | 2459216.10417|   59215.60417| 22 49.7 -05 33         | 159.673 +30.135  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2933 AU|
16 00 00  01.01.2021 | 2459216.12500|   59215.62500| 23 19.8 -05 33         | 168.259 +31.400  | 11 06  22 14 | 098  262   | 16 40  +32.0  |  7.93|    2" |     |  30.2936 AU|
