
Pluto
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2021 | 2459215.45833|   59214.95833| 10 51.3 -22 27         | 329.705 -57.234  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1461 AU|
00 30 00  01.01.2021 | 2459215.47917|   59214.97917| 11 21.4 -22 27         | 342.422 -59.096  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1462 AU|
01 00 00  01.01.2021 | 2459215.50000|   59215.00000| 11 51.4 -22 27         | 356.044 -59.954  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1463 AU|
01 30 00  01.01.2021 | 2459215.52083|   59215.02083| 12 21.5 -22 27         | 009.891 -59.716  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1464 AU|
02 00 00  01.01.2021 | 2459215.54167|   59215.04167| 12 51.6 -22 27         | 023.191 -58.409  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1465 AU|
02 30 00  01.01.2021 | 2459215.56250|   59215.06250| 13 21.7 -22 27         | 035.383 -56.164  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1466 AU|
03 00 00  01.01.2021 | 2459215.58333|   59215.08333| 13 51.7 -22 27         | 046.242 -53.166  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1467 AU|
03 30 00  01.01.2021 | 2459215.60417|   59215.10417| 14 21.8 -22 27         | 055.816 -49.602  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1468 AU|
04 00 00  01.01.2021 | 2459215.62500|   59215.12500| 14 51.9 -22 27         | 064.289 -45.631  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1469 AU|
04 30 00  01.01.2021 | 2459215.64583|   59215.14583| 15 22.0 -22 27         | 071.878 -41.380  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1470 AU|
05 00 00  01.01.2021 | 2459215.66667|   59215.16667| 15 52.1 -22 27         | 078.788 -36.948  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1471 AU|
05 30 00  01.01.2021 | 2459215.68750|   59215.18750| 16 22.1 -22 27         | 085.195 -32.412  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1472 AU|
06 00 00  01.01.2021 | 2459215.70833|   59215.20833| 16 52.2 -22 27         | 091.242 -27.833  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1473 AU|
06 30 00  01.01.2021 | 2459215.72917|   59215.22917| 17 22.3 -22 27         | 097.049 -23.264  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1474 AU|
07 00 00  01.01.2021 | 2459215.75000|   59215.25000| 17 52.4 -22 27         | 102.712 -18.751  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1474 AU|
07 30 00  01.01.2021 | 2459215.77083|   59215.27083| 18 22.5 -22 27         | 108.313 -14.337  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1475 AU|
08 00 00  01.01.2021 | 2459215.79167|   59215.29167| 18 52.5 -22 27         | 113.921 -10.063  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1476 AU|
08 30 00  01.01.2021 | 2459215.81250|   59215.31250| 19 22.6 -22 27         | 119.595 -05.972  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1477 AU|
09 00 00  01.01.2021 | 2459215.83333|   59215.33333| 19 52.7 -22 27         | 125.386 -02.108  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1478 AU|
09 30 00  01.01.2021 | 2459215.85417|   59215.35417| 20 22.8 -22 27         | 131.336 +01.793  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1479 AU|
10 00 00  01.01.2021 | 2459215.87500|   59215.37500| 20 52.9 -22 27         | 137.476 +04.920  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1480 AU|
10 30 00  01.01.2021 | 2459215.89583|   59215.39583| 21 22.9 -22 27         | 143.826 +07.774  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1481 AU|
11 00 00  01.01.2021 | 2459215.91667|   59215.41667| 21 53.0 -22 27         | 150.395 +10.238  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1482 AU|
11 30 00  01.01.2021 | 2459215.93750|   59215.43750| 22 23.1 -22 27         | 157.171 +12.249  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1483 AU|
12 00 00  01.01.2021 | 2459215.95833|   59215.45833| 22 53.2 -22 27         | 164.130 +13.760  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1484 AU|
12 30 00  01.01.2021 | 2459215.97917|   59215.47917| 23 23.3 -22 27         | 171.227 +14.734  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1485 AU|
13 00 00  01.01.2021 | 2459216.00000|   59215.50000| 23 53.3 -22 27         | 178.405 +15.147  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1486 AU|
13 30 00  01.01.2021 | 2459216.02083|   59215.52083| 00 23.4 -22 27         | 185.598 +14.988  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1487 AU|
14 00 00  01.01.2021 | 2459216.04167|   59215.54167| 00 53.5 -22 27         | 192.739 +14.260  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1488 AU|
14 30 00  01.01.2021 | 2459216.06250|   59215.56250| 01 23.6 -22 27         | 199.765 +12.984  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1489 AU|
15 00 00  01.01.2021 | 2459216.08333|   59215.58333| 01 53.7 -22 27         | 206.626 +11.189  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1490 AU|
15 30 00  01.01.2021 | 2459216.10417|   59215.60417| 02 23.7 -22 27         | 213.289 +08.919  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1491 AU|
16 00 00  01.01.2021 | 2459216.12500|   59215.62500| 02 53.8 -22 27         | 219.737 +06.229  | 09 13  17 01 | 128  232   | 13 07  +15.2  | 14.44|    0" |     |  35.1492 AU|
