
Saturn
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2019 | 2458484.45833|   58483.95833| 11 45.2 -22 28         | 353.174 -59.883  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
00 30 00  01.01.2019 | 2458484.47917|   58483.97917| 12 15.3 -22 28         | 007.041 -59.874  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
01 00 00  01.01.2019 | 2458484.50000|   58484.00000| 12 45.3 -22 28         | 020.513 -58.781  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
01 30 00  01.01.2019 | 2458484.52083|   58484.02083| 13 15.4 -22 28         | 032.966 -56.716  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
02 00 00  01.01.2019 | 2458484.54167|   58484.04167| 13 45.5 -22 28         | 044.105 -53.859  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
02 30 00  01.01.2019 | 2458484.56250|   58484.06250| 14 15.6 -22 28         | 053.933 -50.398  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
03 00 00  01.01.2019 | 2458484.58333|   58484.08333| 14 45.6 -22 28         | 062.615 -46.501  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
03 30 00  01.01.2019 | 2458484.60417|   58484.10417| 15 15.7 -22 28         | 070.368 -42.301  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
04 00 00  01.01.2019 | 2458484.62500|   58484.12500| 15 45.8 -22 28         | 077.403 -37.900  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
04 30 00  01.01.2019 | 2458484.64583|   58484.14583| 16 15.8 -22 28         | 083.900 -33.381  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
05 00 00  01.01.2019 | 2458484.66667|   58484.16667| 16 45.9 -22 28         | 090.010 -28.808  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
05 30 00  01.01.2019 | 2458484.68750|   58484.18750| 17 16.0 -22 28         | 095.856 -24.234  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
06 00 00  01.01.2019 | 2458484.70833|   58484.20833| 17 46.1 -22 28         | 101.540 -19.707  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0433 AU|
06 30 00  01.01.2019 | 2458484.72917|   58484.22917| 18 16.1 -22 28         | 107.146 -15.269  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
07 00 00  01.01.2019 | 2458484.75000|   58484.25000| 18 46.2 -22 28         | 112.745 -10.964  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
07 30 00  01.01.2019 | 2458484.77083|   58484.27083| 19 16.3 -22 28         | 118.399 -06.832  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
08 00 00  01.01.2019 | 2458484.79167|   58484.29167| 19 46.3 -22 28         | 124.159 -02.917  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
08 30 00  01.01.2019 | 2458484.81250|   58484.31250| 20 16.4 -22 28         | 130.070 +01.110  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
09 00 00  01.01.2019 | 2458484.83333|   58484.33333| 20 46.5 -22 28         | 136.165 +04.259  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
09 30 00  01.01.2019 | 2458484.85417|   58484.35417| 21 16.6 -22 28         | 142.468 +07.183  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
10 00 00  01.01.2019 | 2458484.87500|   58484.37500| 21 46.6 -22 28         | 148.987 +09.735  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
10 30 00  01.01.2019 | 2458484.89583|   58484.39583| 22 16.7 -22 28         | 155.718 +11.846  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
11 00 00  01.01.2019 | 2458484.91667|   58484.41667| 22 46.8 -22 28         | 162.638 +13.467  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
11 30 00  01.01.2019 | 2458484.93750|   58484.43750| 23 16.8 -22 28         | 169.707 +14.557  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
12 00 00  01.01.2019 | 2458484.95833|   58484.45833| 23 46.9 -22 28         | 176.870 +15.090  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
12 30 00  01.01.2019 | 2458484.97917|   58484.47917| 00 17.0 -22 28         | 184.062 +15.054  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
13 00 00  01.01.2019 | 2458485.00000|   58484.50000| 00 47.1 -22 28         | 191.217 +14.447  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
13 30 00  01.01.2019 | 2458485.02083|   58484.52083| 01 17.1 -22 28         | 198.269 +13.287  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
14 00 00  01.01.2019 | 2458485.04167|   58484.54167| 01 47.2 -22 28         | 205.166 +11.601  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
14 30 00  01.01.2019 | 2458485.06250|   58484.56250| 02 17.3 -22 28         | 211.871 +09.430  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
15 00 00  01.01.2019 | 2458485.08333|   58484.58333| 02 47.3 -22 28         | 218.363 +06.825  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
15 30 00  01.01.2019 | 2458485.10417|   58484.60417| 03 17.4 -22 28         | 224.638 +03.861  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
16 00 00  01.01.2019 | 2458485.12500|   58484.62500| 03 47.5 -22 28         | 230.708 +00.706  | 08 19  16 07 | 128  232   | 12 13  +15.1  |  1.35|   15" |     |  11.0434 AU|
