
Sun
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2020 | 2458849.45833|   58848.95833| 11 50.2 -23 04         | 355.388 -60.553  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
00 30 00  01.01.2020 | 2458849.47917|   58848.97917| 12 20.1 -23 04         | 009.398 -60.360  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
01 00 00  01.01.2020 | 2458849.50000|   58849.00000| 12 50.1 -23 04         | 022.869 -59.086  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
01 30 00  01.01.2020 | 2458849.52083|   58849.02083| 13 20.1 -23 04         | 035.206 -56.863  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
02 00 00  01.01.2020 | 2458849.54167|   58849.04167| 13 50.1 -23 03         | 046.171 -53.881  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
02 30 00  01.01.2020 | 2458849.56250|   58849.06250| 14 20.1 -23 03         | 055.813 -50.328  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
03 00 00  01.01.2020 | 2458849.58333|   58849.08333| 14 50.1 -23 03         | 064.322 -46.367  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
03 30 00  01.01.2020 | 2458849.60417|   58849.10417| 15 20.1 -23 03         | 071.927 -42.127  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
04 00 00  01.01.2020 | 2458849.62500|   58849.12500| 15 50.1 -23 03         | 078.837 -37.706  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
04 30 00  01.01.2020 | 2458849.64583|   58849.14583| 16 20.1 -23 03         | 085.234 -33.181  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
05 00 00  01.01.2020 | 2458849.66667|   58849.16667| 16 50.0 -23 03         | 091.264 -28.615  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
05 30 00  01.01.2020 | 2458849.68750|   58849.18750| 17 20.0 -23 03         | 097.046 -24.058  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
06 00 00  01.01.2020 | 2458849.70833|   58849.20833| 17 50.0 -23 03         | 102.679 -19.557  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
06 30 00  01.01.2020 | 2458849.72917|   58849.22917| 18 20.0 -23 03         | 108.245 -15.154  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
07 00 00  01.01.2020 | 2458849.75000|   58849.25000| 18 50.0 -23 02         | 113.812 -10.889  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
07 30 00  01.01.2020 | 2458849.77083|   58849.27083| 19 20.0 -23 02         | 119.439 -06.804  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
08 00 00  01.01.2020 | 2458849.79167|   58849.29167| 19 50.0 -23 02         | 125.178 -02.942  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
08 30 00  01.01.2020 | 2458849.81250|   58849.31250| 20 20.0 -23 02         | 131.068 +01.036  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
09 00 00  01.01.2020 | 2458849.83333|   58849.33333| 20 50.0 -23 02         | 137.142 +04.119  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
09 30 00  01.01.2020 | 2458849.85417|   58849.35417| 21 20.0 -23 02         | 143.421 +06.977  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
10 00 00  01.01.2020 | 2458849.87500|   58849.37500| 21 49.9 -23 02         | 149.912 +09.460  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
10 30 00  01.01.2020 | 2458849.89583|   58849.39583| 22 19.9 -23 02         | 156.608 +11.502  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
11 00 00  01.01.2020 | 2458849.91667|   58849.41667| 22 49.9 -23 02         | 163.484 +13.054  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
11 30 00  01.01.2020 | 2458849.93750|   58849.43750| 23 19.9 -23 02         | 170.501 +14.080  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
12 00 00  01.01.2020 | 2458849.95833|   58849.45833| 23 49.9 -23 02         | 177.603 +14.553  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
12 30 00  01.01.2020 | 2458849.97917|   58849.47917| 00 19.9 -23 01         | 184.728 +14.462  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
13 00 00  01.01.2020 | 2458850.00000|   58849.50000| 00 49.9 -23 01         | 191.809 +13.809  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
13 30 00  01.01.2020 | 2458850.02083|   58849.52083| 01 19.9 -23 01         | 198.786 +12.611  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
14 00 00  01.01.2020 | 2458850.04167|   58849.54167| 01 49.9 -23 01         | 205.609 +10.897  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
14 30 00  01.01.2020 | 2458850.06250|   58849.56250| 02 19.9 -23 01         | 212.241 +08.707  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
15 00 00  01.01.2020 | 2458850.08333|   58849.58333| 02 49.9 -23 01         | 218.665 +06.095  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
15 30 00  01.01.2020 | 2458850.10417|   58849.60417| 03 19.8 -23 01         | 224.878 +03.141  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
16 00 00  01.01.2020 | 2458850.12500|   58849.62500| 03 49.8 -23 01         | 230.892 +00.063  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
16 30 00  01.01.2020 | 2458850.14583|   58849.64583| 04 19.8 -23 01         | 236.731 -04.155  | 08 17  16 03 | 129  232   | 12 10  +14.6  |      |32.53' |     |   0.9833 AU|
