
Uranus
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2019 | 2458484.45833|   58483.95833| 04 47.3 +10 29         | 261.949 +19.377  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5281 AU|
00 30 00  01.01.2019 | 2458484.47917|   58483.97917| 05 17.4 +10 29         | 268.038 +14.828  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5284 AU|
01 00 00  01.01.2019 | 2458484.50000|   58484.00000| 05 47.5 +10 29         | 273.985 +10.273  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5287 AU|
01 30 00  01.01.2019 | 2458484.52083|   58484.02083| 06 17.6 +10 29         | 279.874 +05.782  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5291 AU|
02 00 00  01.01.2019 | 2458484.54167|   58484.04167| 06 47.7 +10 29         | 285.779 +01.506  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5294 AU|
02 30 00  01.01.2019 | 2458484.56250|   58484.06250| 07 17.8 +10 29         | 291.771 -03.165  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5298 AU|
03 00 00  01.01.2019 | 2458484.58333|   58484.08333| 07 47.8 +10 29         | 297.913 -07.323  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5301 AU|
03 30 00  01.01.2019 | 2458484.60417|   58484.10417| 08 17.9 +10 29         | 304.266 -11.247  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5304 AU|
04 00 00  01.01.2019 | 2458484.62500|   58484.12500| 08 48.0 +10 29         | 310.880 -14.879  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5308 AU|
04 30 00  01.01.2019 | 2458484.64583|   58484.14583| 09 18.1 +10 29         | 317.796 -18.156  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5311 AU|
05 00 00  01.01.2019 | 2458484.66667|   58484.16667| 09 48.2 +10 29         | 325.036 -21.015  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5315 AU|
05 30 00  01.01.2019 | 2458484.68750|   58484.18750| 10 18.3 +10 29         | 332.602 -23.388  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5318 AU|
06 00 00  01.01.2019 | 2458484.70833|   58484.20833| 10 48.3 +10 29         | 340.467 -25.213  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5321 AU|
06 30 00  01.01.2019 | 2458484.72917|   58484.22917| 11 18.4 +10 29         | 348.571 -26.437  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5325 AU|
07 00 00  01.01.2019 | 2458484.75000|   58484.25000| 11 48.5 +10 29         | 356.826 -27.020  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5328 AU|
07 30 00  01.01.2019 | 2458484.77083|   58484.27083| 12 18.6 +10 29         | 005.125 -26.942  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5332 AU|
08 00 00  01.01.2019 | 2458484.79167|   58484.29167| 12 48.7 +10 29         | 013.354 -26.206  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5335 AU|
08 30 00  01.01.2019 | 2458484.81250|   58484.31250| 13 18.7 +10 29         | 021.408 -24.836  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5338 AU|
09 00 00  01.01.2019 | 2458484.83333|   58484.33333| 13 48.8 +10 29         | 029.207 -22.877  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5342 AU|
09 30 00  01.01.2019 | 2458484.85417|   58484.35417| 14 18.9 +10 29         | 036.698 -20.384  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5345 AU|
10 00 00  01.01.2019 | 2458484.87500|   58484.37500| 14 49.0 +10 29         | 043.861 -17.421  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5349 AU|
10 30 00  01.01.2019 | 2458484.89583|   58484.39583| 15 19.1 +10 29         | 050.703 -14.054  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5352 AU|
11 00 00  01.01.2019 | 2458484.91667|   58484.41667| 15 49.2 +10 29         | 057.251 -10.348  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5356 AU|
11 30 00  01.01.2019 | 2458484.93750|   58484.43750| 16 19.2 +10 29         | 063.550 -06.364  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5359 AU|
12 00 00  01.01.2019 | 2458484.95833|   58484.45833| 16 49.3 +10 29         | 069.651 -02.159  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5362 AU|
12 30 00  01.01.2019 | 2458484.97917|   58484.47917| 17 19.4 +10 29         | 075.616 +02.473  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5366 AU|
13 00 00  01.01.2019 | 2458485.00000|   58484.50000| 17 49.5 +10 29         | 081.511 +06.827  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5369 AU|
13 30 00  01.01.2019 | 2458485.02083|   58484.52083| 18 19.6 +10 29         | 087.407 +11.342  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5373 AU|
14 00 00  01.01.2019 | 2458485.04167|   58484.54167| 18 49.7 +10 29         | 093.380 +15.901  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5376 AU|
14 30 00  01.01.2019 | 2458485.06250|   58484.56250| 19 19.7 +10 29         | 099.514 +20.440  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5379 AU|
15 00 00  01.01.2019 | 2458485.08333|   58484.58333| 19 49.8 +10 29         | 105.900 +24.901  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5383 AU|
15 30 00  01.01.2019 | 2458485.10417|   58484.60417| 20 19.9 +10 29         | 112.638 +29.221  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5386 AU|
16 00 00  01.01.2019 | 2458485.12500|   58484.62500| 20 50.0 +10 29         | 119.833 +33.327  | 12 11  02 12 | 072  288   | 19 10  +48.0  |  5.76|    4" |     |  19.5390 AU|
