
Venus
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2020 | 2458849.45833|   58848.95833| 09 24.0 -18 17         | 303.385 -44.299  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2782 AU|
00 30 00  01.01.2020 | 2458849.47917|   58848.97917| 09 54.0 -18 16         | 312.246 -47.901  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2781 AU|
01 00 00  01.01.2020 | 2458849.50000|   58849.00000| 10 23.9 -18 16         | 322.113 -51.000  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2780 AU|
01 30 00  01.01.2020 | 2458849.52083|   58849.02083| 10 53.9 -18 16         | 333.039 -53.444  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2778 AU|
02 00 00  01.01.2020 | 2458849.54167|   58849.04167| 11 23.9 -18 15         | 344.915 -55.077  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2777 AU|
02 30 00  01.01.2020 | 2458849.56250|   58849.06250| 11 53.9 -18 15         | 357.415 -55.772  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2776 AU|
03 00 00  01.01.2020 | 2458849.58333|   58849.08333| 12 23.9 -18 14         | 010.025 -55.468  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2775 AU|
03 30 00  01.01.2020 | 2458849.60417|   58849.10417| 12 53.8 -18 14         | 022.199 -54.191  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2774 AU|
04 00 00  01.01.2020 | 2458849.62500|   58849.12500| 13 23.8 -18 13         | 033.525 -52.046  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2772 AU|
04 30 00  01.01.2020 | 2458849.64583|   58849.14583| 13 53.8 -18 13         | 043.811 -49.184  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2771 AU|
05 00 00  01.01.2020 | 2458849.66667|   58849.16667| 14 23.8 -18 12         | 053.055 -45.759  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2770 AU|
05 30 00  01.01.2020 | 2458849.68750|   58849.18750| 14 53.8 -18 12         | 061.370 -41.913  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2769 AU|
06 00 00  01.01.2020 | 2458849.70833|   58849.20833| 15 23.7 -18 11         | 068.912 -37.763  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2768 AU|
06 30 00  01.01.2020 | 2458849.72917|   58849.22917| 15 53.7 -18 11         | 075.841 -33.405  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2767 AU|
07 00 00  01.01.2020 | 2458849.75000|   58849.25000| 16 23.7 -18 10         | 082.304 -28.916  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2765 AU|
07 30 00  01.01.2020 | 2458849.77083|   58849.27083| 16 53.7 -18 10         | 088.429 -24.359  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2764 AU|
08 00 00  01.01.2020 | 2458849.79167|   58849.29167| 17 23.6 -18 10         | 094.324 -19.789  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2763 AU|
08 30 00  01.01.2020 | 2458849.81250|   58849.31250| 17 53.6 -18 09         | 100.084 -15.253  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2762 AU|
09 00 00  01.01.2020 | 2458849.83333|   58849.33333| 18 23.6 -18 09         | 105.788 -10.797  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2761 AU|
09 30 00  01.01.2020 | 2458849.85417|   58849.35417| 18 53.6 -18 08         | 111.506 -06.465  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2760 AU|
10 00 00  01.01.2020 | 2458849.87500|   58849.37500| 19 23.6 -18 08         | 117.303 -02.301  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2758 AU|
10 30 00  01.01.2020 | 2458849.89583|   58849.39583| 19 53.5 -18 07         | 123.231 +01.945  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2757 AU|
11 00 00  01.01.2020 | 2458849.91667|   58849.41667| 20 23.5 -18 07         | 129.337 +05.485  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2756 AU|
11 30 00  01.01.2020 | 2458849.93750|   58849.43750| 20 53.5 -18 06         | 135.659 +08.809  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2755 AU|
12 00 00  01.01.2020 | 2458849.95833|   58849.45833| 21 23.5 -18 06         | 142.222 +11.793  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2754 AU|
12 30 00  01.01.2020 | 2458849.97917|   58849.47917| 21 53.5 -18 05         | 149.036 +14.366  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2753 AU|
13 00 00  01.01.2020 | 2458850.00000|   58849.50000| 22 23.4 -18 05         | 156.093 +16.469  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2751 AU|
13 30 00  01.01.2020 | 2458850.02083|   58849.52083| 22 53.4 -18 04         | 163.364 +18.055  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2750 AU|
14 00 00  01.01.2020 | 2458850.04167|   58849.54167| 23 23.4 -18 04         | 170.800 +19.081  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2749 AU|
14 30 00  01.01.2020 | 2458850.06250|   58849.56250| 23 53.4 -18 04         | 178.333 +19.520  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2748 AU|
15 00 00  01.01.2020 | 2458850.08333|   58849.58333| 00 23.4 -18 03         | 185.886 +19.360  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2747 AU|
15 30 00  01.01.2020 | 2458850.10417|   58849.60417| 00 53.4 -18 03         | 193.378 +18.605  | 10 13  19 01 | 120  240   | 14 37  +19.5  | -3.86|   13" |0.82 |   1.2745 AU|
